City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Carutapera,BR,79.27,overcast clouds,-1.195,-46.02,Lidera
5,Hithadhoo,MV,82.6,overcast clouds,-0.6,73.0833,Scoop Guest House
6,Alofi,NU,84.09,few clouds,-19.0595,-169.9187,Taloa Heights
12,Butaritari,KI,82.45,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
17,Luwuk,ID,85.51,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
21,Ocos,GT,83.32,clear sky,14.5094,-92.1933,Auto Hotel El Soñador
25,Ballina,AU,89.78,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
28,Kapaa,US,80.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
29,Cayenne,GF,81.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
30,Beira,MZ,75.25,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
31,Liku,ID,82.81,overcast clouds,-0.7275,119.8922,Wahyu
32,Blora,ID,76.21,overcast clouds,-6.9698,111.4186,Hotel Adhi Jaya
44,Vaini,TO,87.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
53,Geraldton,AU,79.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
56,Manggar,ID,80.83,light rain,-2.8833,108.2667,Guest Hotel
61,Ende,ID,85.86,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
63,Alice Springs,AU,85.55,clear sky,-23.7,133.8833,Desert Palms Alice Springs
66,Quatre Cocos,MU,76.08,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
77,Charters Towers,AU,89.24,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
79,Neiafu,TO,86.68,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
80,Mercedes,AR,81.18,clear sky,-34.6515,-59.4307,Posada del Inti Centro
92,Nabire,ID,85.77,few clouds,-3.3667,135.4833,Hotel Nusantara Nabire
95,Monrovia,LR,79.81,moderate rain,6.3005,-10.7969,Sunset Inn
99,Buluang,PH,82.06,few clouds,13.3068,123.3425,Enon Beach Resort
101,Kilindoni,TZ,81.57,overcast clouds,-7.9139,39.6668,Bustani B&B
