City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Skjervoy,NO,70.0311,20.9714,29.52,67,100,5.19,light snow
1,Ancud,CL,-41.8697,-73.8203,62.13,89,21,2.95,few clouds
2,Tuktoyaktuk,CA,69.4541,-133.0374,-14.8,70,90,18.41,light snow
3,Carutapera,BR,-1.195,-46.02,79.27,81,100,7.0,overcast clouds
4,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,83,100,9.71,overcast clouds
5,Hithadhoo,MV,-0.6,73.0833,82.6,74,100,7.36,overcast clouds
6,Alofi,NU,-19.0595,-169.9187,84.09,61,18,18.41,few clouds
7,Valle De Allende,MX,26.9333,-105.4,49.48,69,5,8.46,clear sky
8,Cabo San Lucas,MX,22.8909,-109.9124,74.14,73,40,8.05,scattered clouds
9,Saldanha,ZA,-33.0117,17.9442,60.85,77,85,4.68,overcast clouds
10,Jamestown,US,42.097,-79.2353,26.29,81,46,1.01,scattered clouds
11,Lompoc,US,34.6391,-120.4579,55.54,81,20,4.0,few clouds
12,Butaritari,KI,3.0707,172.7902,82.45,74,99,15.77,overcast clouds
13,Roma,US,43.2128,-75.4557,26.46,84,1,0.0,clear sky
14,Dikson,RU,73.5069,80.5464,-29.58,99,85,2.68,overcast clouds
15,Norman Wells,CA,65.282,-126.8329,1.44,78,90,4.61,light snow
16,Mataura,NZ,-46.1927,168.8643,73.47,46,97,13.96,light rain
17,Luwuk,ID,-0.9516,122.7875,85.51,70,98,1.05,overcast clouds
18,Sept-Iles,CA,50.2001,-66.3821,14.05,73,75,1.99,broken clouds
19,Nyurba,RU,63.2842,118.3319,-29.58,96,100,7.05,overcast clouds
20,Nanortalik,GL,60.1432,-45.2371,40.05,70,100,27.36,overcast clouds
21,Ocos,GT,14.5094,-92.1933,83.32,76,0,9.08,clear sky
22,Leningradskiy,RU,69.3833,178.4167,0.99,93,100,6.93,light snow
23,Thompson,CA,55.7435,-97.8558,-7.44,77,75,6.91,light snow
24,Havre-Saint-Pierre,CA,50.2334,-63.5986,18.19,67,90,2.3,overcast clouds
25,Ballina,AU,-28.8667,153.5667,89.78,57,96,5.75,overcast clouds
26,Saskylakh,RU,71.9167,114.0833,-9.18,98,100,10.4,overcast clouds
27,Maniitsoq,GL,65.4167,-52.9,38.71,59,100,23.89,overcast clouds
28,Kapaa,US,22.0752,-159.319,80.58,74,40,4.0,light rain
29,Cayenne,GF,4.9333,-52.3333,81.09,83,0,1.99,clear sky
30,Beira,MZ,-19.8436,34.8389,75.25,78,70,8.23,broken clouds
31,Liku,ID,-0.7275,119.8922,82.81,77,97,1.28,overcast clouds
32,Blora,ID,-6.9698,111.4186,76.21,92,100,5.19,overcast clouds
33,Albany,US,42.6001,-73.9662,25.27,74,10,13.0,clear sky
34,Mildura,AU,-34.2,142.15,72.07,26,5,9.22,clear sky
35,Fort Nelson,CA,58.8053,-122.7002,4.77,96,100,0.72,light snow
36,Ponta Do Sol,PT,32.6667,-17.1,69.01,93,100,20.42,overcast clouds
37,Khatanga,RU,71.9667,102.5,-11.4,97,100,11.68,overcast clouds
38,Plettenberg Bay,ZA,-34.0527,23.3716,64.06,94,100,6.53,overcast clouds
39,Waynesboro,US,38.0685,-78.8895,34.99,67,1,4.61,clear sky
40,Chokurdakh,RU,70.6333,147.9167,-3.87,98,100,13.73,light snow
41,Bluff,NZ,-46.6,168.3333,73.8,67,98,18.25,overcast clouds
42,Kangaatsiaq,GL,68.3065,-53.4641,24.03,79,100,14.09,overcast clouds
43,Punta Arenas,CL,-53.15,-70.9167,46.51,66,75,19.57,broken clouds
44,Vaini,TO,-21.2,-175.2,87.96,79,40,10.36,scattered clouds
45,Clyde River,CA,70.4692,-68.5914,8.83,92,100,8.05,mist
